Index,Country_Name,Country_Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Percent_Change,Latitude,Longitude
35,Azerbaijan,AZE,3.1,3.3,2.7,2.6,2.9,3.1,3.1,3.2,3.2,3.2,3.1,1,40.5,47.5
36,Bangladesh,BGD,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,24,90
37,Belarus,BLR,5.8,6.1,5.8,6.3,6,6.1,6.1,6,5.5,5.6,5.7,1.01754386,53,28
38,Bosnia and Herzegovina,BIH,4.9,5.4,5.4,5.5,6.3,5.9,6,5.4,5.5,6.3,6.4,0.765625,44,18
39,Brazil,BRA,1.7,1.8,1.7,1.9,2,2.1,2.2,2.3,2.2,2,2,0.85,-10,-55
40,Brunei Darussalam,BRN,18.3,19.1,19.4,17.6,17.8,17.4,16.9,16.3,14.3,15.2,15.6,1.173076923,4.5,114.6667
41,Brunei,BRN,18.3,19.1,19.4,17.6,17.8,17.4,16.9,16.3,14.3,15.2,15.6,1.173076923,4.5,114.6667
42,Bulgaria,BGR,6.8,6.5,5.7,6,6.7,6.1,5.4,5.8,6.1,5.7,6.1,1.114754098,43,25
43,Cambodia,KHM,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.428571429,13,105
44,Chile,CHL,3.8,4,3.8,4,4.4,4.4,4.6,4.2,4.5,4.7,4.6,0.826086957,-30,-71
45,China,CHN,4.9,5,5.4,5.9,6.4,6.5,6.8,6.7,6.6,6.6,6.7,0.731343284,35,105
46,Colombia,COL,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.6,1.6,1.8,1.5,0.8,4,-72
47,Croatia,HRV,4.8,4.5,4.3,4.1,4.2,3.8,3.7,3.6,3.7,3.8,3.9,1.230769231,45.1667,15.5
48,Cyprus,CYP,9.8,9.8,9.4,8.9,8.3,7.6,6.5,6.7,7,7.4,7.4,1.324324324,35,33
49,Egypt,EGY,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,1,27,30
50,Estonia,EST,14.3,13.2,11,13.9,13.3,12.4,14.2,13.2,11.5,11.7,12.1,1.181818182,59,26
51,Ethiopia,ETH,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,8,38
52,Georgia,GEO,1.3,1.2,1.3,1.3,1.5,1.7,1.8,2.1,2.3,2.4,2.3,0.565217391,42,43.5
53,Ghana,GHA,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.8,8,-2
54,Haiti,HTI,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.666666667,19,-72.4167
55,Hong Kong,HKG,6.4,6.2,6.6,6,6.5,6.3,6.4,6.6,6,6.1,6,1.066666667,22.25,114.1667
56,India,IND,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.5,1.6,1.6,0.6875,20,77
57,Indonesia,IDN,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.7,1.9,0.789473684,-5,120
58,Iran,IRN,6.7,6.7,6.8,6.7,6.7,6.7,6.9,7.1,7,6.9,7,0.957142857,32,53
59,Israel,ISR,8.9,8.8,8.5,9,8.7,9.3,8.1,7.6,7.6,7.4,7.3,1.219178082,31.5,34.75
